Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
48,Cinema Paradiso,1988,2h 54m,"Drama, Romance",8.5,292930,U,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
49,Dune: Part Two,2024,2h 46m,"Action, Adventure, Drama",8.5,558627,UA,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
50,Modern Times,1936,1h 27m,"Comedy, Drama, Romance",8.5,267134,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
51,Alien,1979,1h 57m,"Horror, Sci-Fi",8.5,994382,R,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
52,Rear Window,1954,1h 52m,"Drama, Mystery, Thriller",8.5,536464,U,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
53,C'era Una Volta Il West,1968,2h 46m,"Drama, Western",8.5,359100,U,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
54,Django Unchained,2012,2h 45m,"Comedy, Drama, Western",8.5,1747985,A,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
55,City Lights,1931,1h 27m,"Comedy, Drama, Romance",8.5,202337,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
56,Apocalypse Now,1979,2h 27m,"Drama, Mystery, War",8.4,728323,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
57,Memento,2000,1h 53m,"Mystery, Thriller",8.4,1353966,UA,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
58,WALL·E,2008,1h 38m,"Animation, Adventure, Family",8.4,1235113,U,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
59,Raiders of the Lost Ark,1981,1h 55m,"Action, Adventure",8.4,1057647,A,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
60,Das Leben der Anderen,2006,2h 17m,"Drama, Mystery, Thriller",8.4,420235,A,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
61,12th Fail,2023,2h 27m,"Biography, Drama",8.8,136397,No Rating,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
62,Avengers: Infinity War,2018,2h 29m,"Action, Adventure, Sci-Fi",8.4,1251106,UA,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
63,Sunset Blvd.,1950,1h 50m,"Drama, Film-Noir",8.4,243771,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
